representante,label,respuesta
Leonardo,negativa,"no es conmigo, pero gracias"
Raphael,neutral,revisalo con el área de operaciones mejor
Raphael,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Michelangelo,neutral,contactame más adelante
Michelangelo,negativa,"no me interesa x ahora, gracias!"
Leonardo,neutral,contactame más adelante
Raphael,neutral,hablalo con mi colega (lo estoy cc)
Michelangelo,positiva,"dale, soordinemoz una llamada para verlo."
Raphael,neutral,lo vemos en Q3 probablemente
Leonardo,neutral,pongamoslo en standby
Michelangelo,negativa,"Gracias por escribir, pero estamos bien así"
Leonardo,positiva,"dale, zigamoz la konverzakión"
Leonardo,negativa,"no es conmigo, pero gracias"
Donatello,negativa,"grakiaz, pero nop me intereza el zervikio x ahora."
Donatello,negativa,Ya tenemos proveedor
Donatello,positiva,"zi dale, agendemostracionz 😊"
Donatello,positiva,"Sí, pasame link para agendar."
Leonardo,negativa,nop
Donatello,neutral,tal vez máz adelante en el año.
Leonardo,neutral,ez interezante pero npo tengo ankho ahora
Leonardo,positiva,Podemos hacer una reunión la semana próxima.
Michelangelo,neutral,"grasiaz, lo tengo en el radar para el futuro"
Michelangelo,neutral,me intereza pero npo ez el mejor timing
Donatello,neutral,pongamoslo en standby
Raphael,neutral,lo vemos en Q3 probablemente
Donatello,positiva,"eztoy libre el juevez, ¿lez va bien?"
Leonardo,neutral,hola! puede que más adelante sirva
Raphael,positiva,"suena interesante, me gustaria conocer más"
Leonardo,negativa,No estamos buscando alternativas en este momento
Leonardo,positiva,"dale, soordinemoz una llamada para verlo."
Leonardo,neutral,puede servirnos en otro momento
Donatello,neutral,aun no hay proyecto
Donatello,positiva,"sí, me parece relevante para lo que buscamos"
Donatello,negativa,lo analizamoz y npo ez lo ke buzsamoz
Michelangelo,negativa,fw: nop evaluamoz nuevaz zolusionez ezte año
Donatello,negativa,No
Leonardo,positiva,"ya lo hablé internamente, quieren avanzar"
Leonardo,positiva,"dale, soordinemoz una llamada para verlo."
Raphael,neutral,lo vemoz en q3 probablemente
Raphael,positiva,"zuena interezante, me guztaria konopker máz"
Raphael,neutral,me interesa pero no es el mejor timing
Leonardo,neutral,estamos en medio de otra implementación
Michelangelo,positiva,eztoy interezado en avanzar kon una dm.
Raphael,neutral,contactame más adelante
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Michelangelo,neutral,eztamoz en medio de otra implementasión
Raphael,positiva,"Sí, pasame link para agendar."
Raphael,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Leonardo,neutral,contactame más adelante
Leonardo,neutral,estamos enfocados en otro tipo de soluciones
Michelangelo,neutral,eztamoz en medio de otra implementakión
Donatello,positiva,"me intereza, kompartime máz info x favor."
Leonardo,negativa,lo analizamos y no es lo que buscamos
Donatello,positiva,podemostracionz haker una reunión la zemana próxima.
Leonardo,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Leonardo,positiva,eztoy interezado en avanzar son una dm.
Donatello,positiva,podemostracionz haker una reunión la zemana próxima.
Donatello,positiva,"Estoy libre el jueves, ¿les va bien?"
Donatello,positiva,"Sí, pasame link para agendar."
Michelangelo,negativa,"grcs, no estoy evaluando esto"
Michelangelo,positiva,agendmz algo y lo evaluamoz kon el ekipo.
Michelangelo,negativa,grcs pero no nos sirve
Leonardo,positiva,Me interesa explorar esto más a fondo.
Raphael,negativa,"Hola, ya usamos algo similar"
Donatello,neutral,eztá buenop pero nop ez urgente
Donatello,positiva,"me intereza, sompartime máz info x favor."
Michelangelo,neutral,pongamoslo en standby
Donatello,negativa,estamos con otro proveedor con contrato vigente
Leonardo,neutral,me interesa pero no es el mejor timing
Raphael,neutral,sontastame máz adelante
Leonardo,neutral,fw: para revizión en planning de fin de año
Michelangelo,negativa,eztamoz son otro proveedor son sontrato vigente
Raphael,neutral,revisalo con el área de operaciones mejor
Leonardo,positiva,Podemos agendar algo para la próxima semana.
Leonardo,negativa,lo analizamos y no es lo que buscamos
Michelangelo,neutral,FW: para revisión en planning de fin de año
Donatello,negativa,Ya tenemos proveedor
Donatello,neutral,contactame más adelante
Leonardo,positiva,Me interesa explorar esto más a fondo.
Leonardo,neutral,hola! puede ke máz adelante zirva
Leonardo,positiva,"suena interesante, me gustaria conocer más"
Michelangelo,neutral,aun nop hay proyekto
Leonardo,neutral,lo vemoz en q3 probablemente
Raphael,neutral,Tal vez más adelante en el año.
Michelangelo,negativa,nop aplisa para nueztra operasión astual
Raphael,positiva,Me interesa explorar esto más a fondo.
Michelangelo,positiva,"me intereza, sompartime máz info x favor."
Leonardo,positiva,"dale, sigamos la conversación"
Leonardo,negativa,FW: no evaluamos nuevas soluciones este año
Leonardo,neutral,eztamoz en medio de otra implementakión
Leonardo,positiva,estoy cc a mi colega que ve estos temas
Leonardo,positiva,"ia lo hablé internamente, kieren avanzar"
Michelangelo,negativa,"grcs, no estoy evaluando esto"
Donatello,negativa,ia tenemoz proveedor
Michelangelo,positiva,"Sí, pasame link para agendar."
Leonardo,negativa,"Gracias por escribir, pero estamos bien así"
Donatello,neutral,estamos en medio de otra implementación
Michelangelo,negativa,"Gracias por escribir, pero estamos bien así"
Leonardo,neutral,tal vez máz adelante en el año.
Michelangelo,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Donatello,neutral,aun npo hay proyekto
Leonardo,neutral,me interesa pero no es el mejor timing
Donatello,positiva,agendmz algo y lo evaluamoz kon el ekipo.
Donatello,negativa,FW: no evaluamos nuevas soluciones este año
Leonardo,negativa,"no es conmigo, pero gracias"
Donatello,negativa,no lo vemos prioritario
Leonardo,positiva,"Estoy libre el jueves, ¿les va bien?"
Donatello,neutral,hola! puede que más adelante sirva
Donatello,neutral,pongamoslo en standby
Leonardo,positiva,"Dale, coordinemos una llamada para verlo."
Leonardo,neutral,ez interezante pero nop tengo ansho ahora
Donatello,positiva,"sí, me parece relevante para lo que buscamos"
Donatello,positiva,Podemos agendar algo para la próxima semana.
Leonardo,positiva,"dale, sigamos la conversación"
Leonardo,negativa,"no es conmigo, pero gracias"
Leonardo,negativa,"npo me intereza x ahora, grakiaz!"
Michelangelo,neutral,aun no hay proyecto
Raphael,neutral,tal vez máz adelante en el año.
Donatello,positiva,Estoy interesado en avanzar con una demo.
Donatello,neutral,hola! puede ke máz adelante zirva
Donatello,negativa,grsz pero npo npoz zirve
Donatello,neutral,ahora eztamoz full son otraz prioridadez
Michelangelo,negativa,npo grakiaz
Michelangelo,neutral,lo veo bien pero no decido yo
Leonardo,positiva,"Sí, pasame link para agendar."
Donatello,positiva,podemostracionz haser una reunión la zemana próxima.
Raphael,positiva,Estoy interesado en avanzar con una demo.
Donatello,positiva,"zí, pazame link para agndar."
Michelangelo,neutral,hola! puede que más adelante sirva
Donatello,positiva,"suena interesante, me gustaria conocer más"
Donatello,negativa,"npo ez sonmigo, pero grasiaz"
Michelangelo,positiva,Estoy interesado en avanzar con una demo.
Donatello,negativa,"nop ez sonmigo, pero grasiaz"
Raphael,negativa,grcs pero no nos sirve
Donatello,negativa,nueztro foko eztá en otra área ezte año
Donatello,negativa,lo analizamoz y npo ez lo ke buzsamoz
Donatello,positiva,"ezto nopz intereza, ¿tienen sazoz de uzo?"
Donatello,neutral,"estoy fuera de oficina, lo retomo luego"
Leonardo,positiva,"Me interesa, compartime más info por favor."
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,positiva,"eztoy libre el juevez, ¿lez va bien?"
Donatello,negativa,"hola, lla uzamoz algo zimilar"
Raphael,negativa,FW: no evaluamos nuevas soluciones este año
Leonardo,positiva,"lla lo hablé internamente, kieren avanzar"
Leonardo,negativa,"Paso, gracias"
Leonardo,negativa,"Gracias, pero no me interesa el servicio por ahora."
Leonardo,neutral,me interesa pero no es el mejor timing
Raphael,neutral,eztá buenpo pero npo ez urgente
Donatello,negativa,Ya tenemos proveedor
Leonardo,positiva,"suena interesante, me gustaria conocer más"
Michelangelo,neutral,FW: para revisión en planning de fin de año
Leonardo,negativa,"grkz, nop eztoy evaluando ezto"
Raphael,positiva,"dale, zigamoz la konverzakión"
Michelangelo,negativa,"Gracias, pero no me interesa el servicio por ahora."
Donatello,neutral,pongamoslo en standby
Raphael,neutral,puede zervirnpoz en otro momento
Donatello,negativa,nueztro foso eztá en otra área ezte año
Raphael,negativa,"grasiaz, pero npo me intereza el zervisio x ahora."
Leonardo,positiva,"Estoy libre el jueves, ¿les va bien?"
Donatello,positiva,"zuena interezante, me guztaria konopker máz"
Donatello,neutral,"eztoy fuera de ofikina, lo retomo luego"
Donatello,positiva,podmz haker una reunión la zemana próxima.
Leonardo,negativa,"grasiaz, pero npo me intereza el zervisio x ahora."
Leonardo,neutral,está bueno pero no es urgente
Donatello,positiva,"Dale, coordinemos una llamada para verlo."
Leonardo,neutral,lo veo bien pero npo desido yo
Michelangelo,negativa,"Paso, gracias"
Donatello,neutral,puede zervirnopz en otro momento
Donatello,negativa,"nop, gracias!"
Leonardo,neutral,revisalo con el área de operaciones mejor
Leonardo,positiva,"re: me intereza la zolusión, avansen son dm"
Leonardo,positiva,"si dale, agendemos 😊"
Michelangelo,neutral,respondo rapido: no tengo definiciones aún
Donatello,negativa,lo analizamos y no es lo que buscamos
Raphael,negativa,"Gracias, pero no me interesa el servicio por ahora."
Raphael,neutral,lo veo bien pero nop dekido yo
Raphael,positiva,"zí, me pareke relevante para lo ke buzkamoz"
Leonardo,neutral,"eztoy fuera de ofikina, lo retomo luego"
Raphael,neutral,estamos enfocados en otro tipo de soluciones
Leonardo,positiva,podmz agendaar algo para la próxima zemana.
Donatello,negativa,npo aplisa para nueztra operasión astual
Michelangelo,neutral,"eztoy fuera de ofisina, lo retomo luego"
Leonardo,neutral,lo vemoz en q3 probablemente
Donatello,neutral,rezpondo rapido: npo tengo definisionez aún
Raphael,neutral,lo vemos en Q3 probablemente
Raphael,neutral,eztamoz en medio de otra implementakión
Leonardo,positiva,"dale, sigamos la conversación"
Leonardo,negativa,"no me interesa x ahora, gracias!"
Raphael,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Michelangelo,neutral,eztamoz en medio de otra implementakión
Raphael,negativa,no aplica para nuestra operación actual
Michelangelo,negativa,no lo vemos prioritario
Raphael,neutral,fw: para revizión en planning de fin de año
Michelangelo,positiva,estoy cc a mi colega que ve estos temas
Raphael,neutral,eztá buenop pero nop ez urgente
Leonardo,negativa,nueztro foso eztá en otra área ezte año
Donatello,negativa,"Hola, ya usamos algo similar"
Donatello,positiva,"ezto npoz intereza, ¿tienen kazoz de uzo?"
Leonardo,positiva,"re: me intereza la zolusión, avansen son dm"
Raphael,negativa,"no me interesa x ahora, gracias!"
Donatello,neutral,"grakiaz, lo tengo en el radar para el futuro"
Leonardo,positiva,"rezpondo dezde el selu, agenden y lo veo"
Raphael,neutral,lo vemos en Q3 probablemente
Michelangelo,negativa,grsz pero nop nopz zirve
Donatello,neutral,Tal vez más adelante en el año.
Raphael,positiva,Estoy interesado en avanzar con una demo.
Donatello,positiva,"Sí, pasame link para agendar."
Donatello,neutral,kontaktame máz adelante
Donatello,neutral,kontaktame máz adelante
Donatello,negativa,ia tenemoz proveedor
Leonardo,negativa,lla tenemoz proveedor
Donatello,neutral,fw: para revizión en planning de fin de año
Donatello,negativa,No estoy interesado por el momento
Michelangelo,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Donatello,positiva,"zi dale, agendmz 😊"
Leonardo,positiva,"me intereza, sompartime máz info x favor."
Donatello,neutral,lo veo bien pero no decido yo
Raphael,neutral,kontaktame máz adelante
Leonardo,positiva,"Sí, pasame link para agendar."
Raphael,positiva,Podemos hacer una reunión la semana próxima.
Leonardo,neutral,contactame más adelante
Donatello,positiva,podmz haser una reunión la zemana próxima.
Leonardo,negativa,"nop, gracias!"
Leonardo,positiva,"ezto nopz intereza, ¿tienen sazoz de uzo?"
Michelangelo,positiva,me intereza explorar ezto máz a fondo.
Raphael,neutral,"Gracias, lo tengo en el radar para el futuro"
Raphael,neutral,Tal vez más adelante en el año.
Michelangelo,neutral,me interesa pero no es el mejor timing
Michelangelo,negativa,npo
Michelangelo,negativa,"grkz, npo eztoy evaluando ezto"
Donatello,neutral,tal vez máz adelante en el año.
Raphael,neutral,me intereza pero npo ez el mejor timing
Donatello,negativa,FW: no evaluamos nuevas soluciones este año
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Raphael,neutral,puede zervirnopz en otro momento
Donatello,neutral,contactame más adelante
Raphael,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Raphael,positiva,"zí, pazame link para agendaar."
Michelangelo,negativa,Nuestro foco está en otra área este año
Raphael,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Leonardo,neutral,me interesa pero no es el mejor timing
Leonardo,negativa,nop
Leonardo,positiva,"Me interesa, compartime más info por favor."
Leonardo,neutral,tal vez máz adelante en el año.
Leonardo,neutral,puede servirnos en otro momento
Donatello,neutral,hablalo son mi solega (lo eztoy ss)
Raphael,positiva,"Estoy libre el jueves, ¿les va bien?"
Leonardo,positiva,"Esto nos interesa, ¿tienen casos de uso?"
Michelangelo,neutral,lo vemos en Q3 probablemente
Michelangelo,negativa,"no es conmigo, pero gracias"
Leonardo,neutral,ahora eztamoz full son otraz prioridadez
Donatello,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Donatello,neutral,es interesante pero no tengo ancho ahora
Donatello,neutral,respondo rapido: no tengo definiciones aún
Raphael,negativa,No gracias
Raphael,neutral,respondo rapido: no tengo definiciones aún
Leonardo,negativa,estamos con otro proveedor con contrato vigente
Donatello,neutral,hola! puede que más adelante sirva
Donatello,negativa,no aplica para nuestra operación actual
Donatello,positiva,"Sí, pasame link para agendar."
Donatello,negativa,Ya tenemos proveedor
Donatello,negativa,"no es conmigo, pero gracias"
Donatello,positiva,"Dale, coordinemos una llamada para verlo."
Leonardo,negativa,"Gracias por escribir, pero estamos bien así"
Raphael,negativa,"Paso, gracias"
Leonardo,positiva,Agendemos algo y lo evaluamos con el equipo.
Leonardo,negativa,lla tenemoz proveedor
Donatello,negativa,No estoy interesado por el momento
Michelangelo,negativa,No gracias
Leonardo,positiva,"Sí, pasame link para agendar."
Donatello,neutral,respondo rapido: no tengo definiciones aún
Raphael,neutral,"estoy fuera de oficina, lo retomo luego"
Donatello,neutral,revisalo con el área de operaciones mejor
Leonardo,neutral,aun no hay proyecto
Raphael,neutral,ez interezante pero npo tengo ankho ahora
Donatello,neutral,Tal vez más adelante en el año.
Leonardo,positiva,"suena interesante, me gustaria conocer más"
Leonardo,neutral,eztamoz en medio de otra implementasión
Raphael,positiva,Estoy interesado en avanzar con una demo.
Donatello,neutral,lo veo bien pero no decido yo
Leonardo,positiva,podmz haser una reunión la zemana próxima.
Leonardo,negativa,grsz pero npo npoz zirve
Raphael,negativa,lla tenemoz proveedor
Donatello,positiva,"dale, zigamoz la konverzakión"
Donatello,negativa,"nop, gracias!"
Michelangelo,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Donatello,positiva,"Estoy libre el jueves, ¿les va bien?"
Leonardo,neutral,contactame más adelante
Donatello,neutral,está bueno pero no es urgente
Donatello,negativa,nop eztamoz buzsando alternativaz en ezte momento
Leonardo,neutral,estamos en medio de otra implementación
Leonardo,negativa,"grakiaz, pero npo me intereza el zervikio x ahora."
Leonardo,neutral,Tal vez más adelante en el año.
Donatello,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Leonardo,negativa,"no me interesa x ahora, gracias!"
Donatello,neutral,hola! puede que más adelante sirva
Raphael,negativa,No
Leonardo,negativa,"Hola, ya usamos algo similar"
Raphael,positiva,Podemos agendar algo para la próxima semana.
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,positiva,"RE: Me interesa la solución, avancen con demo"
Leonardo,negativa,"nop ez konmigo, pero grakiaz"
Leonardo,negativa,Ya tenemos proveedor
Donatello,negativa,"no es conmigo, pero gracias"
Leonardo,negativa,estamos con otro proveedor con contrato vigente
Donatello,neutral,hola! puede ke máz adelante zirva
Leonardo,neutral,"eztoy fuera de ofikina, lo retomo luego"
Raphael,neutral,eztamoz enfokadoz en otro tipo de zolukionez
Donatello,neutral,fw: para revizión en planning de fin de año
Leonardo,neutral,lo vemoz en q3 probablemente
Donatello,negativa,"grasiaz, pero nop me intereza el zervisio x ahora."
Leonardo,neutral,pongamozlo en ztandby
Donatello,neutral,puede zervirnopz en otro momento
Leonardo,positiva,Estoy interesado en avanzar con una demo.
Donatello,positiva,"dale, sigamos la conversación"
Leonardo,neutral,estamos en medio de otra implementación
Raphael,neutral,sontastame máz adelante
Raphael,positiva,"Me interesa, compartime más info por favor."
Leonardo,neutral,respondo rapido: no tengo definiciones aún
Leonardo,neutral,ahora eztamoz full kon otraz prioridadez
Raphael,positiva,Me interesa explorar esto más a fondo.
Leonardo,neutral,me interesa pero no es el mejor timing
Donatello,neutral,estamos en medio de otra implementación
Michelangelo,negativa,"npo ez konmigo, pero grakiaz"
Leonardo,negativa,nop eztamoz buzkando alternativaz en ezte momento
Michelangelo,neutral,pongamoslo en standby
Donatello,positiva,"zí, reunámonpoz. ¿tienen dizponibilidad ezta zemana?"
Raphael,negativa,No gracias
Michelangelo,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Leonardo,neutral,"estoy fuera de oficina, lo retomo luego"
Donatello,negativa,"no me interesa x ahora, gracias!"
Michelangelo,negativa,"no es conmigo, pero gracias"
Raphael,neutral,puede servirnos en otro momento
Donatello,neutral,está bueno pero no es urgente
Leonardo,negativa,grkz pero npo npoz zirve
Raphael,positiva,"si dale, agendemos 😊"
Donatello,positiva,"Dale, coordinemos una llamada para verlo."
Donatello,positiva,Agendemos algo y lo evaluamos con el equipo.
Michelangelo,negativa,npo grasiaz
Donatello,positiva,"Dale, coordinemos una llamada para verlo."
Raphael,negativa,estamos con otro proveedor con contrato vigente
Donatello,negativa,"Gracias, pero no me interesa el servicio por ahora."
Donatello,neutral,respondo rapido: no tengo definiciones aún
Donatello,negativa,"no me interesa x ahora, gracias!"
Donatello,neutral,puede servirnos en otro momento
Michelangelo,positiva,"Estoy libre el jueves, ¿les va bien?"
Michelangelo,negativa,grkz pero nop nopz zirve
Raphael,negativa,"Gracias, pero no me interesa el servicio por ahora."
Leonardo,neutral,lo veo bien pero no decido yo
Michelangelo,negativa,npo grakiaz
Leonardo,positiva,"Sí, pasame link para agendar."
Michelangelo,negativa,fw: nop evaluamoz nuevaz zolukionez ezte año
Michelangelo,negativa,"Hola, ya usamos algo similar"
Leonardo,neutral,revisalo con el área de operaciones mejor
Donatello,negativa,"grakiaz x ezkribir, pero eztamoz bien azí"
Leonardo,positiva,"ya lo hablé internamente, quieren avanzar"
Donatello,positiva,"hola, grasiaz x ezsribirme. zí, me intereza."
Donatello,neutral,lo veo bien pero no decido yo
Raphael,positiva,Estoy interesado en avanzar con una demo.
Raphael,neutral,me interesa pero no es el mejor timing
Donatello,negativa,grcs pero no nos sirve
Raphael,neutral,"eztoy fuera de ofikina, lo retomo luego"
Donatello,positiva,"Sí, reunámonos. ¿Tienen disponibilidad esta semana?"
Leonardo,positiva,"dale, sigamos la conversación"
Raphael,neutral,aun npo hay proyesto
Michelangelo,negativa,grkz pero npo npoz zirve
Donatello,neutral,lo vemos en Q3 probablemente
Leonardo,negativa,"Paso, gracias"
Donatello,neutral,hablalo con mi colega (lo estoy cc)
Donatello,negativa,fw: npo evaluamoz nuevaz zolukionez ezte año
Leonardo,positiva,"Dale, coordinemos una llamada para verlo."
Raphael,positiva,me intereza explorar ezto máz a fondo.
Leonardo,negativa,"nop, gracias!"
Leonardo,negativa,nop eztoy interezado x el momento
Michelangelo,neutral,aun nop hay proyesto
Michelangelo,negativa,"hola, lla uzamoz algo zimilar"
Raphael,positiva,podemostracionz agendaar algo para la próxima zemana.
Michelangelo,negativa,lo analizamos y no es lo que buscamos
Donatello,positiva,agendmz algo y lo evaluamoz son el ekipo.
Raphael,negativa,nueztro foso eztá en otra área ezte año
Donatello,neutral,me interesa pero no es el mejor timing
Leonardo,negativa,estamos con otro proveedor con contrato vigente
Donatello,positiva,podmz agendaar algo para la próxima zemana.
Donatello,negativa,"Paso, gracias"
Leonardo,negativa,lo analizamos y no es lo que buscamos
Leonardo,neutral,lo veo bien pero no decido yo
Donatello,negativa,Nuestro foco está en otra área este año
Raphael,neutral,hola! puede que más adelante sirva
Michelangelo,neutral,pongamozlo en ztandby
Donatello,positiva,"Dale, coordinemos una llamada para verlo."
Raphael,positiva,Agendemos algo y lo evaluamos con el equipo.
Donatello,positiva,"dale, zigamoz la sonverzasión"
Raphael,negativa,"hola, lla uzamoz algo zimilar"
Raphael,negativa,No gracias
Leonardo,neutral,rezpondo rapido: npo tengo definikionez aún
Donatello,negativa,npo grasiaz
Donatello,positiva,"dale, sigamos la conversación"
Michelangelo,neutral,lo vemos en Q3 probablemente
Leonardo,positiva,"RE: Me interesa la solución, avancen con demo"
Michelangelo,negativa,"nop, gracias!"
Raphael,positiva,agendemostracionz algo y lo evaluamoz son el ekipo.
Leonardo,negativa,"nop ez sonmigo, pero grasiaz"
Michelangelo,positiva,Podemos hacer una reunión la semana próxima.
Leonardo,neutral,me intereza pero nop ez el mejor timing
Leonardo,negativa,No
Donatello,negativa,grsz pero nop nopz zirve
Raphael,neutral,estamos enfocados en otro tipo de soluciones
Donatello,negativa,"no es conmigo, pero gracias"
Raphael,neutral,me intereza pero nop ez el mejor timing
Michelangelo,negativa,"Paso, gracias"
Donatello,positiva,"Hola, gracias por escribirme. Sí, me interesa."
Raphael,positiva,"dale, sigamos la conversación"
Michelangelo,negativa,"Paso, gracias"
Michelangelo,negativa,nop grakiaz
Raphael,neutral,"estoy fuera de oficina, lo retomo luego"
Michelangelo,neutral,estamos enfocados en otro tipo de soluciones
Raphael,neutral,lo vemos en Q3 probablemente
Leonardo,negativa,nop aplisa para nueztra operasión astual
Raphael,positiva,"ezto npoz intereza, ¿tienen kazoz de uzo?"
Donatello,positiva,"Sí, pasame link para agendar."
Michelangelo,neutral,lo vemos en Q3 probablemente
Leonardo,positiva,"dale, soordinemoz una llamada para verlo."
Donatello,neutral,"grasiaz, lo tengo en el radar para el futuro"
Michelangelo,neutral,lo veo bien pero no decido yo
Donatello,positiva,"ezto npoz intereza, ¿tienen sazoz de uzo?"
